TrapCode,X,Y,Z,Impact,distnatlro,distsettle,diststream,denslocalr,distlocalr,TRI5,CLC2018,CLC112,CLC211,CLC222,CLC231,CLC242,CLC243,CLC311,CLC312,CLC313,CLC321,CLC322,CLC324,CLC332,CLC512
216,25.182151,45.517566,1290,None,6020.799805,5755.870117,500,0.284083,860.2329712,321.6409912,324,0,0,0,0,0,0,0,0.301783265,0.466392318,0,0.09739369,0.043895748,0.090534979,0
217,25.168535,45.501219,1259,None,7200.689941,5731.490234,223.6069946,0.286416,500,287.8659973,313,0,0,0,0,0.089163237,0,0.094650206,0.001371742,0.775034294,0,0,0.039780521,0,0
218,25.133967,45.49235,1344,Logging,9050.969727,5147.810059,360.5549927,0.26857,1063.01001,179.6109924,313,0,0,0,0,0,0,0.067215364,0.573388203,0.262002743,0,0.001371742,0.096021948,0,0
219,25.141479,45.536575,1487,None,9560.330078,9265.530273,608.276001,0.261677,1029.560059,192.5330048,312,0,0,0,0,0,0,0,0.355281207,0.275720165,0.33744856,0,0.031550069,0,0
220,25.155271,45.533558,1449,None,8420.209961,8221.919922,360.5549927,0.27217,921.9539795,271.8009949,313,0,0,0,0,0,0,0,0.355281207,0.275720165,0.33744856,0,0.031550069,0,0
224,25.146715,45.364771,1147,None,1811.079956,1603.119995,316.2279968,0.305507,2420.73999,120.4489975,231,0.120713306,0,0,0.187928669,0,0,0.600823045,0.039780521,0,0,0,0.050754458,0,0
225,25.202809,45.365097,1222,None,2500,2302.169922,538.5159912,0.295482,640.3120117,234.0149994,311,0.0260631,0,0,0.366255144,0,0,0.384087791,0.083676269,0.117969822,0,0,0,0.021947874,0
226,25.202809,45.302663,1045,None,2707.399902,2690.719971,100,0.247294,2200,191.003006,311,0,0,0,0,0.028806584,0.152263374,0.310013717,0.048010974,0.327846365,0.133058985,0,0,0,0
227,25.159714,45.286619,803,None,721.1099854,316.2279968,632.4559937,0.233308,1969.77002,163.7039948,324,0.190672154,0,0.049382716,0.248285322,0.089163237,0.305898491,0.010973937,0,0.074074074,0,0,0.031550069,0,0
228,25.289416,45.308937,1541,None,9247.700195,8709.19043,316.2279968,0.261647,1749.290039,220.4340057,312,0,0,0,0,0,0,0,0.562414266,0.233196159,0.150891632,0.053497942,0,0,0
229,25.007889,45.539487,1317,None,11717.5,15620.5,223.6069946,0.218052,200,352.0329895,312,0,0,0,0,0,0,0,0.846364883,0.060356653,0.008230453,0.042524005,0.042524005,0,0
230,24.975952,45.542794,1382,Logging,12971.09961,17785.90039,0,0.217767,100,392.0469971,312,0,0,0,0,0,0,0,0.834019204,0,0.07133059,0.068587106,0.0260631,0,0
231,25.034697,45.546267,1172,None,12141.2998,14577.40039,0,0.229504,0,262.2749939,313,0,0,0,0,0,0,0,0.908093278,0.032921811,0.023319616,0.004115226,0,0,0.031550069
232,25.23736,45.292445,941,None,4870.319824,4308.129883,0,0.260537,200,223.5059967,313,0,0,0,0,0,0,0.061728395,0.22085048,0.474622771,0.242798354,0,0,0,0
233,25.23329,45.349846,1187,None,5063.600098,3705.399902,0,0.293484,141.4210052,274.1619873,311,0,0,0,0.048010974,0.01920439,0,0.347050754,0.216735254,0.368998628,0,0,0,0,0
236,25.108297,45.615261,1297,None,13017.2998,10911,100,0.228125,200,222.6499939,313,0,0,0,0,0,0,0.0260631,0.55829904,0.364883402,0,0,0.050754458,0,0
237,25.148295,45.600851,1189,None,10900.5,8792.040039,0,0.254308,0,276.9869995,311,0,0,0,0,0,0,0.212620027,0.174211248,0.613168724,0,0,0,0,0
238,25.194978,45.274258,920,None,1200,700,300,0.223089,860.2329712,188.7669983,313,0.167352538,0,0,0.034293553,0.020576132,0,0.259259259,0.034293553,0.44170096,0.042524005,0,0,0,0
239,25.271234,45.321965,1144,None,7900,7261.540039,100,0.270725,100,214.3619995,312,0,0,0,0,0,0,0.124828532,0.541838134,0.028806584,0.304526749,0,0,0,0
240,25.134507,45.636403,1555,None,10151.7998,8459.30957,100,0.235451,3059.409912,162.8899994,312,0,0,0,0,0,0,0,0.618655693,0.277091907,0,0,0.104252401,0,0
241,25.202678,45.568062,1114,None,7441.100098,6312.689941,447.2139893,0.277574,447.2139893,193.772995,313,0,0,0,0.064471879,0,0,0.096021948,0,0.839506173,0,0,0,0,0
242,25.222392,45.211481,899,None,905.5390015,1000,447.2139893,0.274207,1029.560059,248.3569946,324,0.085048011,0,0.027434842,0.010973937,0.012345679,0.020576132,0.16872428,0,0.113854595,0.035665295,0,0.510288066,0.015089163,0
243,25.225297,45.194143,809,None,900,608.276001,400,0.262479,2846.050049,227.9320068,313,0.085048011,0,0.027434842,0.010973937,0.012345679,0.020576132,0.16872428,0,0.113854595,0.035665295,0,0.510288066,0.015089163,0
245,25.075419,45.338579,815,None,900,200,360.5549927,0.322083,900,127.1139984,231,0.120713306,0,0,0.054869684,0.16872428,0.015089163,0.04526749,0.117969822,0.17558299,0.170096022,0,0.131687243,0,0
246,25.040219,45.463262,1137,None,2961.419922,9518.929688,100,0.26823,200,332.9970093,312,0,0,0,0,0,0,0.17558299,0.683127572,0,0.106995885,0.034293553,0,0,0
248,25.124476,45.665473,1229,None,8561.540039,8200.610352,360.5549927,0.234497,360.5549927,187.4349976,313,0,0,0,0,0,0,0.316872428,0.060356653,0.622770919,0,0,0,0,0
249,25.146881,45.691044,905,None,6360.029785,5724.509766,300,0.22806,360.5549927,232.7290039,311,0,0,0,0,0,0,0.935528121,0,0.064471879,0,0,0,0,0
250,25.260476,45.265924,1333,None,6400,5001,100,0.242285,984.8859863,252.0019989,312,0,0,0,0,0,0,0.087791495,0.176954733,0.625514403,0.074074074,0,0.035665295,0,0
251,25.262022,45.242014,847,None,5189.410156,4304.649902,0,0.25387,1649.23999,225.4909973,313,0,0,0,0,0,0,0.322359396,0.060356653,0.540466392,0.076817558,0,0,0,0
253,25.16713,45.644772,1196,Logging,7430.339844,5900,0,0.236371,3059.409912,280.4570007,313,0,0,0,0,0,0,0.056241427,0.425240055,0.386831276,0,0,0.131687243,0,0
254,25.202085,45.608801,1488,Logging,6735.729981,4651.879883,316.2279968,0.270176,2158.699951,245.9880066,312,0,0,0,0,0,0,0.341563786,0.399176955,0.196159122,0.063100137,0,0,0,0
255,25.218248,45.642093,1141,None,4310.450195,1923.540039,223.6069946,0.253287,2200,280.1270142,311,0,0,0,0.12345679,0.041152263,0,0.711934156,0.12345679,0,0,0,0,0,0
256,24.9878,45.412794,1283,None,5420.330078,8348.650391,100,0.33577,1500,319.1520081,312,0,0,0,0,0,0,0.048010974,0.615912209,0.001371742,0.329218107,0.005486968,0,0,0
257,25.031474,45.407925,967,None,2300,5961.540039,0,0.343429,100,237.7409973,313,0,0,0,0,0,0,0.060356653,0.186556927,0.665294925,0,0,0.086419753,0,0.001371742
258,25.057548,45.416642,957,None,100,6506.919922,0,0.317071,1746.420044,395.45401,512,0,0,0,0,0.021947874,0,0.338820302,0.0781893,0.364883402,0,0,0.127572016,0,0.068587106
259,25.062462,45.442734,1170,None,1204.160034,7741.450195,100,0.282134,0,310.118988,313,0,0,0,0,0.056241427,0,0.141289438,0.120713306,0.644718793,0.012345679,0,0.024691358,0,0
260,25.097011,45.690185,933,None,5412.02002,4957.819824,316.2279968,0.229408,538.5159912,82.6378021,311,0,0,0,0.023319616,0,0,0.976680384,0,0,0,0,0,0,0
