TrapCode,X,Y,Z,Impact,distnatlro,distsettle,diststream,denslocalr,distlocalr,TRI5,CLC2018,CLC112,CLC211,CLC222,CLC231,CLC242,CLC243,CLC311,CLC312,CLC313,CLC321,CLC322,CLC324,CLC332,CLC512
118,25.271342,45.5627,1133,None,2900,1780.45,1140.18,0.289045,1063.01,223.031,313,0,0,0,0.234567901,0.100137174,0,0.034293553,0.117969822,0.473251029,0,0,0,0.039780521,0
119,25.204651,45.548213,1189,None,5805.17,5728,500,0.290564,1004.99,212.941,313,0,0,0,0.024691358,0,0,0,0,0.969821674,0.005486968,0,0,0,0
120,25.229844,45.482242,1357,Low,2163.33,1118.03,282.843,0.295181,200,234.354,313,0,0,0,0,0.122085048,0,0.641975309,0,0.235939643,0,0,0,0,0
122,25.259756,45.531794,1257,None,1581.14,1555.63,0,0.286008,412.311,178.236,313,0,0,0,0,0.126200274,0.111111111,0.145404664,0.233196159,0.329218107,0.054869684,0,0,0,0
124,25.146743,45.69105,902,None,6360.03,5692.1,300,0.22806,360.555,232.729,311,0,0,0,0,0,0,0.935528121,0,0.064471879,0,0,0,0,0
125,25.180166,45.6765,867,None,5092.15,4846.65,0,0.22253,0,266.137,311,0,0,0,0,0,0,0.351165981,0,0.648834019,0,0,0,0,0
127,25.19463,45.718458,795,None,2816.03,3832.75,360.555,0.231671,1272.79,145.034,311,0,0,0,0.002743484,0.079561043,0,0.836762689,0,0,0,0,0.080932785,0,0
129,25.189137,45.418104,1098,None,1044.03,1170.47,100,0.278754,316.228,209.526,311,0.004115226,0,0,0.16872428,0.021947874,0.155006859,0.648834019,0,0,0,0,0.001371742,0,0
130,25.138906,45.448794,1278,Low,6082.76,1702.94,300,0.270078,824.621,182.88,311,0,0,0,0.031550069,0.152263374,0.102880658,0.187928669,0.004115226,0.342935528,0,0,0.178326475,0,0
132,25.038855,45.469011,1173,None,3569.31,9729.34,0,0.265748,223.607,254.008,311,0,0,0,0,0,0,0.17558299,0.683127572,0,0.106995885,0.034293553,0,0,0
